timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1633734290090,1787,HTTP Request,200,OK,Thread Group 1-1,text,true,,104840,619,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,480,0,392
1633734290090,482,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,750,121,4,4,https://google.com/classroom,480,0,392
1633734290586,163,HTTP Request-1,301,Moved Permanently,Thread Group 1-1,text,true,,754,125,4,4,https://www.google.com/classroom,163,0,132
1633734290750,800,HTTP Request-2,302,Moved Temporarily,Thread Group 1-1,text,true,,1728,122,4,4,https://classroom.google.com/,787,0,122
1633734291550,327,HTTP Request-3,200,OK,Thread Group 1-1,text,true,,101608,251,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,247,0,127
1633734291001,1467,HTTP Request,200,OK,Thread Group 1-3,text,true,,105114,619,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,146,0,117
1633734291001,146,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,758,121,4,4,https://google.com/classroom,146,0,117
1633734291148,152,HTTP Request-1,301,Moved Permanently,Thread Group 1-3,text,true,,754,125,4,4,https://www.google.com/classroom,152,0,123
1633734291301,866,HTTP Request-2,302,Moved Temporarily,Thread Group 1-3,text,true,,1728,122,4,4,https://classroom.google.com/,865,0,121
1633734292169,299,HTTP Request-3,200,OK,Thread Group 1-3,text,true,,101874,251,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,219,0,114
1633734290502,1968,HTTP Request,200,OK,Thread Group 1-2,text,true,,104948,619,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,144,0,112
1633734290502,144,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,758,121,3,3,https://google.com/classroom,144,0,112
1633734290646,141,HTTP Request-1,301,Moved Permanently,Thread Group 1-2,text,true,,754,125,3,3,https://www.google.com/classroom,141,0,111
1633734290788,1387,HTTP Request-2,302,Moved Temporarily,Thread Group 1-2,text,true,,1728,122,3,3,https://classroom.google.com/,1381,0,118
1633734292176,294,HTTP Request-3,200,OK,Thread Group 1-2,text,true,,101708,251,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,219,0,107
1633734291490,1484,HTTP Request,200,OK,Thread Group 1-4,text,true,,104812,619,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,146,0,116
